Sample	Country	Island	End. DNA Shotgun (%)
FUT001	Vanuatu	Futuna	6.12
FUT002	Vanuatu	Futuna	9.36
FUT006	Vanuatu	Futuna	8.56
FUT007	Vanuatu	Futuna	8.12
LHA001	Tonga	Tongatapu	0.24
MAI002	Solomons	Malaita	13.96
MAL001	Vanuatu	Malakula	0.07
MAL002	Vanuatu	Malakula	1.54
MAL004	Vanuatu	Malakula	3.23
MAL006	Vanuatu	Malakula	0.04
MAL007	Vanuatu	Malakula	1.74
MAL008	Vanuatu	Malakula	0.11
TAN001	Vanuatu	Tanna	4.19
TAN002	Vanuatu	Tanna	0.62
TAP002	Tahiti	Raiatea	0.07
TAP003	Tahiti	Raiatea	0.31
TAP004	Tahiti	Raiatea	0.05
TON001	Tonga	Tongatapu	0.49
TON002	Tonga	Tongatapu	2.97
